session_key,meeting_key,driver_number,date,position
9540,1239,55,2024-06-28T10:40:24.265000+00:00,7
9540,1239,55,2024-06-28T10:43:07.831000+00:00,6
9540,1239,55,2024-06-28T10:45:14.081000+00:00,7
9540,1239,55,2024-06-28T10:46:05.293000+00:00,5
9540,1239,55,2024-06-28T10:46:42.026000+00:00,6
9540,1239,55,2024-06-28T10:49:10.527000+00:00,7
9540,1239,55,2024-06-28T11:25:07.198000+00:00,2
9540,1239,55,2024-06-28T11:25:18.678000+00:00,3
9540,1239,55,2024-06-28T11:26:45.219000+00:00,4
9545,1239,55,2024-06-28T14:19:26.696000+00:00,4
9545,1239,55,2024-06-28T14:32:59.573000+00:00,5
9545,1239,55,2024-06-28T14:33:02.019000+00:00,6
9545,1239,55,2024-06-28T14:33:04.849000+00:00,7
9545,1239,55,2024-06-28T14:33:37.135000+00:00,2
9545,1239,55,2024-06-28T14:34:04.765000+00:00,3
9545,1239,55,2024-06-28T14:34:23.003000+00:00,4
9545,1239,55,2024-06-28T14:34:26.614000+00:00,5
9545,1239,55,2024-06-28T14:34:37.968000+00:00,6
9545,1239,55,2024-06-28T14:34:47.953000+00:00,7
9545,1239,55,2024-06-28T14:35:16.271000+00:00,2
9545,1239,55,2024-06-28T14:35:29.350000+00:00,3
9545,1239,55,2024-06-28T14:35:33.970000+00:00,4
9545,1239,55,2024-06-28T14:35:45.036000+00:00,5
9545,1239,55,2024-06-28T14:35:51.147000+00:00,6
9545,1239,55,2024-06-28T14:35:53.355000+00:00,5
9545,1239,55,2024-06-28T14:35:54.716000+00:00,6
9545,1239,55,2024-06-28T14:35:59.595000+00:00,7
9545,1239,55,2024-06-28T14:36:22.036000+00:00,2
9545,1239,55,2024-06-28T14:37:26.282000+00:00,3
9545,1239,55,2024-06-28T14:49:20.701000+00:00,4
9545,1239,55,2024-06-28T14:49:25.319000+00:00,5
9545,1239,55,2024-06-28T14:49:32.579000+00:00,2
9545,1239,55,2024-06-28T14:50:16.366000+00:00,3
9545,1239,55,2024-06-28T14:50:51.230000+00:00,4
9545,1239,55,2024-06-28T14:51:01.842000+00:00,5
9545,1239,55,2024-06-28T14:51:09.357000+00:00,2
9545,1239,55,2024-06-28T14:51:45.517000+00:00,3
9545,1239,55,2024-06-28T14:51:56.930000+00:00,4
9545,1239,55,2024-06-28T14:52:07.378000+00:00,5
9545,1239,55,2024-06-28T14:52:14.681000+00:00,2
9545,1239,55,2024-06-28T14:52:32.660000+00:00,3
9545,1239,55,2024-06-28T14:52:50.807000+00:00,4
9545,1239,55,2024-06-28T15:11:24.967000+00:00,5
9545,1239,55,2024-06-28T15:11:55.462000+00:00,6
9545,1239,55,2024-06-28T15:12:00.420000+00:00,3
9545,1239,55,2024-06-28T15:12:14.957000+00:00,4
9545,1239,55,2024-06-28T15:12:57.418000+00:00,5
9545,1239,55,2024-06-28T15:13:25.446000+00:00,6
9545,1239,55,2024-06-28T15:13:35.981000+00:00,3
9545,1239,55,2024-06-28T15:13:43.384000+00:00,4
9545,1239,55,2024-06-28T15:14:02.577000+00:00,5
9545,1239,55,2024-06-28T15:14:30.334000+00:00,6
9545,1239,55,2024-06-28T15:14:40.928000+00:00,4
9545,1239,55,2024-06-28T15:14:48.233000+00:00,5
9549,1239,55,2024-06-29T09:17:44.192000+00:00,5
9549,1239,55,2024-06-29T10:07:19.003000+00:00,4
9549,1239,55,2024-06-29T10:15:25.623000+00:00,5
9541,1239,55,2024-06-29T13:46:51.100000+00:00,4
9541,1239,55,2024-06-29T14:00:11.962000+00:00,5
9541,1239,55,2024-06-29T14:00:21.698000+00:00,6
9541,1239,55,2024-06-29T14:00:26.007000+00:00,7
9541,1239,55,2024-06-29T14:00:46.789000+00:00,2
9541,1239,55,2024-06-29T14:01:03.787000+00:00,3
9541,1239,55,2024-06-29T14:01:18.909000+00:00,4
9541,1239,55,2024-06-29T14:01:38.799000+00:00,5
9541,1239,55,2024-06-29T14:01:51.166000+00:00,6
9541,1239,55,2024-06-29T14:01:58.185000+00:00,7
9541,1239,55,2024-06-29T14:02:29.846000+00:00,2
